title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox
Volkswagen Scirocco,2920,130422,2009,4.0,Petrol,Hatchback,1.4L,Manual
Chevrolet Matiz,2490,44584,2008,5.0,Petrol,Hatchback,0.8L,Automatic
BMW 3 Series,2490,107800,2006,5.0,Petrol,Saloon,2.0L,Automatic
Jeep Compass,2000,66814,2009,6.0,Petrol,SUV,2.4L,Manual
BMW 1 Series,6450,89518,2012,3.0,Petrol,Hatchback,1.6L,Automatic
BMW 3 Series,2255,165000,2006,5.0,Petrol,Saloon,2.5L,Manual
MINI Hatch,2250,111000,2010,3.0,Petrol,Hatchback,1.6L,Manual
BMW 1 Series,2890,109000,2007,2.0,Petrol,Hatchback,2.0L,Automatic
Ford Focus,1850,97000,2003,2.0,Petrol,Hatchback,1.6L,Automatic
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Vauxhall Tigra,1490,85556,2006,3.0,Petrol,Convertible,1.4L,Manual
Jaguar XE,9990,105000,2016,1.0,Diesel,Saloon,2.0L,Automatic
Audi A4,5495,65694,2009,2.0,Diesel,Saloon,2.7L,Automatic
Peugeot 208,4750,67653,2013,3.0,Petrol,Hatchback,1.2L,Manual
Vauxhall Corsa,1995,96000,2008,3.0,Petrol,Hatchback,1.2L,Manual
Ford Fiesta,3250,85000,2009,3.0,Petrol,Hatchback,1.3L,Manual
BMW 3 Series,4440,90000,2006,4.0,Petrol,Saloon,2.5L,Automatic
Volkswagen Touran,1950,85000,2004,3.0,Petrol,MPV,1.6L,Manual
Vauxhall Insignia,2950,79000,2011,4.0,Petrol,Hatchback,1.8L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Toyota Yaris,2000,64000,2007,3.0,Petrol,Hatchback,1.3L,Manual
Chrysler Sebring,1999,88000,2007,5.0,Petrol,Saloon,2.4L,Automatic
Peugeot 108,4495,71000,2015,3.0,Petrol,Hatchback,1.2L,Manual
Vauxhall Vectra,1799,69200,2007,4.0,Petrol,Hatchback,1.8L,Manual
Vauxhall Corsa,3999,42000,2013,3.0,Petrol,Hatchback,1.2L,Manual
Vauxhall Corsa,3480,65279,2007,3.0,Petrol,Hatchback,1.4L,Automatic
Honda Civic,2390,80000,2003,4.0,Petrol,Hatchback,1.6L,Automatic
MINI Hatch,1990,83000,2007,7.0,Petrol,Hatchback,1.6L,Manual
BMW 1 Series,5000,135600,2015,3.0,Diesel,Hatchback,1.5L,Manual
Peugeot 207 SW,3290,43000,2011,1.0,Diesel,Estate,1.6L,Manual
MINI Hatch,3250,52000,2009,5.0,Petrol,Hatchback,1.6L,Manual
Vauxhall Corsa,2500,94500,2011,5.0,Petrol,Hatchback,1.4L,Manual
Alfa Romeo 159,2250,132000,2008,2.0,Petrol,Saloon,1.8L,Manual
Renault Clio,5498,58000,2014,4.0,Petrol,Hatchback,1.2L,Manual
Renault Scenic,4695,90000,2015,2.0,Petrol,MPV,1.2L,Manual
KIA Ceed,3299,124000,2015,2.0,Diesel,Hatchback,1.6L,Manual
Jaguar X-type,1599,92000,2003,6.0,Petrol,Saloon,2.5L,Automatic
Suzuki Jimny,2490,103200,2006,4.0,Petrol,Convertible,1.3L,Manual
Volvo C30,3841,75349,2009,2.0,Petrol,Coupe,1.6L,Manual
MINI Hatch,5495,96229,2016,2.0,Diesel,Hatchback,1.5L,Manual
Vauxhall Insignia,2950,79000,2011,4.0,Petrol,Hatchback,1.8L,Manual
KIA Ceed,5995,103000,2016,4.0,Diesel,Estate,1.6L,Manual
Saab 9-3,3395,125000,2008,3.0,Petrol,Estate,2.0L,Manual
Renault Clio,1500,92415,2006,1.0,Petrol,Hatchback,1.4L,Manual
Peugeot 2008,5890,67550,2016,2.0,Petrol,SUV,1.2L,Manual
Honda Jazz,2390,62000,2006,2.0,Petrol,Hatchback,1.4L,Manual
Honda Jazz,1895,77627,2007,5.0,Petrol,Hatchback,1.4L,Manual
Toyota Verso,3000,184000,2010,1.0,Petrol,MPV,1.8L,Automatic
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Peugeot 107,1950,73200,2013,3.0,Petrol,Hatchback,1.0L,Manual
Audi A3,7495,45000,2013,2.0,Petrol,Hatchback,1.4L,Manual
Volvo V50,3499,107288,2010,2.0,Diesel,Estate,2.0L,Automatic
Peugeot 308,1890,99000,2010,5.0,Petrol,Hatchback,1.4L,Manual
Mazda Mazda2,7999,58000,2015,2.0,Petrol,Hatchback,1.5L,Manual
Peugeot 206,4050,44283,2004,1.0,Petrol,Hatchback,2.0L,Manual
BMW 3 Series,3989,75890,2004,5.0,Petrol,Convertible,2.0L,Automatic
Peugeot 207,1299,87000,2008,5.0,Diesel,Hatchback,1.6L,Manual
MINI Hatch,10000,46923,2017,3.0,Petrol,Hatchback,1.5L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
Ford Mondeo,1990,73839,2008,2.0,Diesel,Hatchback,1.8L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Chevrolet Captiva,2495,93000,2008,3.0,Petrol,SUV,2.4L,Manual
